GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

1025.6	1025.92	5.36	7.93	1.04	1.85	11.1	14	92.4	37.51	5235.5	5237.3
1026.02	1026.18	9.2	4.09	0.47	2.04	5.39	19.8	86.8	38.89	5237.9	5238.9
1026.23	1026.55	4.93	5.24	0.37	1.39	4.69	10.8	87.09	29.03	5239.2	5241.5
1026.55	1026.87	4.43	10.9	0.69	1.54	8.02	9.15	82	26.1	5241.5	5243.8
1026.87	1027.16	5.67	7.21	0.61	1.69	6.23	12	85.68	28.27	5243.8	5245.9
1027.18	1027.5	9.63	19.2	2.35	1.66	9.4	12.8	76.22	32.33	5246.0	5247.8
1027.5	1027.82	5.98	9.08	1.5	1.68	7.46	12.2	86.8	31.43	5247.8	5249.8
1028	1028.13	5.34	16.3	0.96	1.8	8.2	12.4	78.69	28.92	5251.0	5251.9
1028.13	1028.45	5.73	8.44	2.07	1.46	6.75	11.9	81.68	44.04	5251.9	5254.0
1028.45	1028.76	6.2	13.1	1.58	2.01	11.6	13.6	76.58	32.16	5254.0	5256.2
1028.76	1029.08	4.36	10	0.36	1.35	5.87	10.4	77.33	29.95	5256.2	5258.6
1029.08	1029.39	4.71	6.64	0.42	1.42	5.36	11.5	82.47	31.45	5258.6	5260.7
1029.39	1029.71	6.33	30.9	1.15	1.94	9.51	12.4	84.58	35.45	5260.7	5263.2
1029.71	1029.95	6	7.08	1.26	1.94	9.65	10.4	92.92	36.35	5263.2	5265.1
1032.43	1032.6	12.9	3.81	2.32	2.53	13.4	19.5	60.57	36.71	5282.5	5283.7
1032.6	1032.91	4.97	4.88	0.4	1.93	12.5	10.7	64.26	29.3	5283.7	5285.9
1032.91	1033.23	4	13.6	0.59	1.58	8.16	10.6	100.4	34.24	5285.9	5288.3
1033.23	1033.54	3.91	4.56	0.54	1.21	5.4	11.1	77.32	68.3	5288.3	5290.5
1033.54	1033.86	10.3	6.51	0.94	3.14	12.4	19.2	87.36	52.83	5290.5	5292.9
1033.86	1034.17	7.31	11.2	0.61	1.78	6.14	16.7	78.36	37.97	5292.9	5295.4
1034.17	1034.49	6.99	5.2	1.54	2.29	11.3	13.3	74.92	54.7	5295.4	5297.8
1034.49	1034.8	5.46	7.49	1.36	1.62	6.73	11.9	72.52	64.16	5297.8	5300.2
1034.8	1035.04	7.71	11.2	1.68	1.58	8.51	13.3	64.43	39.83	5300.2	5302.0
1035.16	1035.43	5.86	13	1.74	1.53	7.88	11.7	77.62	36.76	5303.0	5304.9
1035.43	1035.72	6.86	7.13	1.41	2.05	11.5	13.5	70.81	38.83	5304.9	5306.9
1035.74	1036.06	9.19	6.34	1.44	2.22	13.3	14.9	68.61	37.02	5307.1	5309.6
1036.06	1036.37	5.39	20.8	1.39	1.44	7.1	9.92	73.54	33.33	5309.6	5312.0
1036.37	1036.68	6.08	5.07	0.92	1.98	12.1	12.1	83.59	33.94	5312.0	5314.2
1036.68	1037	4.66	8.37	0.93	1.54	9.69	9.85	75.87	37.59	5314.2	5316.3
1037	1037.31	7.13	7.74	1.4	2.03	13.7	14.2	64.01	36.15	5316.3	5318.5
1037.31	1037.62	5.34	6.03	1.18	1.53	6.91	9.52	63.13	34.73	5318.5	5320.6
1037.94	1038.25	11	6.31	1.1	2.69	10.4	21	72.18	32.63	5322.9	5325.4
1038.25	1038.56	5.75	5.5	1.42	1.45	5.76	11.4	62.69	56.6	5325.4	5327.8
1038.56	1038.84	4.99	8.76	1.42	1.64	12.3	12.6	74.35	32.85	5327.8	5330.2
1039.19	1039.43	6.11	9.93	1.65	1.45	6.13	11	73.17	26.45	5332.9	5334.5
1039.5	1039.81	17.2	7.97	5.1	1.85	11.4	20.8	71.14	28.74	5334.9	5336.8
1039.81	1040.06	6.46	9.93	1.65	1.8	10.3	12.6	79.87	30.79	5336.8	5338.5
1040.06	1040.37	6.44	7.93	1.37	1.68	9.67	11.6	83.51	29.9	5338.5	5340.9
1040.37	1040.57	4.86	29.5	2.04	1.85	8.76	10	97.01	47.79	5340.9	5342.4
1040.72	1040.99	11.2	6.04	2.44	2.1	12.2	19.4	85.84	29.12	5343.5	5345.4
1041	1041.26	4.48	13.1	1.54	1.35	6.96	9.27	83.56	40.97	5345.4	5347.1
1041.31	1041.62	11.4	9.86	2.74	2.99	15.9	18.1	67.05	39.54	5347.4	5349.4
1041.62	1041.9	4.26	8.42	1.27	1.64	8.51	9.72	84.58	65.11	5349.4	5351.6
1042	1042.24	8.08	5.43	2.04	2.02	11.8	13.2	63.48	31.59	5352.2	5353.9
1042.24	1042.55	4.09	5.09	1.07	1.64	9.51	7.33	68.28	27.47	5353.9	5355.8
1042.55	1042.86	5.88	6.07	1.46	2.07	11.4	9.68	65.21	32.83	5355.8	5357.9
1042.86	1042.94	9.99	4.33	1.23	2.96	12.9	16.3	69.94	45.52	5357.9	5358.5
1043.17	1043.41	6.6	7.48	1.26	2.68	11.2	12.3	75.4	51.01	5359.9	5362.1
1043.48	1043.79	4.79	4.4	1.05	1.65	7.14	10.7	82.35	41.51	5362.4	5364.5
1043.92	1044.1	6.92	4.59	1.35	1.53	12	10.5	60.39	26.55	5365.5	5366.8
1044.1	1044.38	7.3	7.16	1.29	2.57	12.4	13.7	80.68	55.29	5366.8	5368.9
1044.42	1044.73	6.18	11.8	1.11	1.82	11.7	10.9	76.4	29.87	5369.2	5371.6
1044.73	1045.04	4.16	8.08	0.89	1.27	6.1	9.47	72.92	23.97	5371.6	5373.7
1045.04	1045.35	6.17	16.1	1.25	2.08	14.7	10.1	67.64	29.53	5373.7	5375.8
1045.37	1045.66	5.19	4.78	0.81	1.98	9.08	9.98	73.21	28.67	5375.9	5377.9
1045.66	1045.97	6.41	9.44	1.45	1.59	9.36	11.9	65.08	34.11	5377.9	5379.9
1046.05	1046.28	3.7	6.55	1.04	1.06	5.76	6.39	63.09	23.56	5380.5	5382.1
1046.28	1046.59	4.86	7.47	0.9	1.8	9.16	9.83	71.35	30.47	5382.1	5384.3
1046.59	1046.9	5.8	11.3	1.77	2.17	10.4	12.7	76.25	38.92	5384.3	5386.4
1046.9	1047.05	9.92	3.53	1.01	2.59	12.6	16	65.1	36.29	5386.4	5387.5
1047.24	1047.51	6.17	4.51	0.86	1.49	5.55	10.8	63.09	30.54	5388.8	5390.4
1047.51	1047.82	7.51	6.36	2.42	1.84	8.85	14.5	68.89	32.81	5390.4	5392.4
1047.82	1048.13	7.71	4.2	1.61	2.2	9.9	11.7	56.46	31.25	5392.4	5394.4
1048.13	1048.44	5.96	9.28	1.7	1.99	8.27	12.1	73.88	35.81	5394.4	5396.6
1048.44	1048.75	4.09	5.94	0.69	1.28	7.35	7.85	63.8	30.59	5396.6	5398.5
1048.75	1049.06	5.53	4.04	0.74	1.69	7.01	9.64	71.98	43.8	5398.5	5400.7
1049.06	1049.31	8.35	3.95	1.1	2.1	10.7	15.3	60.8	41.23	5400.7	5402.6
1049.37	1049.68	6.88	6.96	1.24	2.02	9.17	13.5	64.28	34.2	5403.1	5405.1
1049.68	1049.9	7.25	8.78	1.86	1.98	13.7	12.8	69.83	38.26	5405.1	5406.5
1049.99	1050.29	6.36	22.6	4.21	1.47	8.06	15.3	99.41	43.31	5407.3	5409.4
1050.29	1050.58	7.27	6.8	1.28	2.38	11.2	14.7	74.25	54.2	5409.4	5411.8
1050.62	1050.9	10.3	5.82	1.2	2.24	7.27	19.3	81.83	34.59	5412.1	5414.1
1051	1051.22	7.24	6.27	1.49	2.28	14.8	14.9	75.5	38.05	5414.8	5416.3
1051.22	1051.53	3.7	8.98	1.11	1.13	5.64	8.12	72.35	28.27	5416.3	5418.6
1051.53	1051.83	5.65	7.87	1.37	1.35	9.15	10.9	74.54	30.07	5418.6	5420.7
1051.83	1052.09	9.42	8.38	1.29	1.98	7.13	17.1	69.99	32.28	5420.7	5422.6
1052.2	1052.45	8.6	14.5	2.18	1.5	5.85	13.8	77.66	33.07	5423.4	5425.1
1052.45	1052.76	5.2	20.2	1.36	1.65	10.1	9.93	66.76	39.82	5425.1	5427.4
1052.77	1052.92	5.05	12.4	1.32	1.52	11.4	9.46	71.16	32.3	5427.5	5428.6
1053.07	1053.25	6.6	6.69	1.15	2.08	11.1	11.5	58.25	32.84	5429.6	5430.8
1053.41	1053.68	5.42	7.5	1.19	1.59	9.94	10.1	60.73	33.58	5432.1	5434.3
1053.71	1053.99	5.03	5.76	1.35	1.5	7.56	11.3	86.24	35.74	5434.5	5437.0
1054	1054.26	5.3	8.25	1.12	1.79	7	9.4	67.45	62.38	5437.1	5439.1
1054.29	1054.6	7.19	7.08	1.14	1.72	7.14	13.4	65.79	39.45	5439.3	5441.6
1054.6	1054.91	5.91	6.4	1.13	1.57	8.98	10.8	62.73	35.59	5441.6	5443.6
1054.91	1055.22	6.37	34.5	1.64	1.47	6.75	10.1	71.94	29.53	5443.6	5445.7
1055.22	1055.52	6.12	8.6	1.19	2.46	11.7	12.5	77.32	43.37	5445.7	5447.9
1055.52	1055.83	8.59	9.36	2.85	1.89	8.93	15.1	76.5	57.22	5447.9	5449.9
1055.83	1056.14	10	9.78	3.55	1.81	7.86	14.1	61.9	33.1	5449.9	5452.3
1056.14	1056.44	4.36	9.45	1.58	1.49	7.62	11.8	81.52	33.68	5452.3	5454.8
1056.44	1056.75	4.4	5.61	0.85	1.21	5.48	11.1	94.72	33.9	5454.8	5456.9
1056.75	1057.05	4.93	6.24	1.5	1.37	6.36	10	68.13	33.64	5456.9	5459.2
1057.05	1057.28	4.88	9.48	1.43	1.27	7.16	9.17	73.97	33.53	5459.2	5461.0
1057.38	1057.67	6.96	12.2	1.7	1.91	8.11	11.7	74.8	39.73	5461.5	5463.4
1057.67	1057.95	5.08	7.17	1.61	1.54	7.76	9.8	85.68	41.11	5463.4	5465.4
1058	1058.28	7.21	6.37	1.26	2.71	9.73	12.6	75.06	212.31	5465.7	5468.1
1058.3	1058.58	5.08	11.3	1.13	1.75	8.66	9.14	76.79	72.91	5468.3	5470.5
1058.58	1058.86	6.12	8.21	1.22	1.81	9.1	11.1	72.58	34.96	5470.5	5472.4
1058.89	1059.19	10.7	6.74	1.67	2.55	10.9	17.7	81.15	42.05	5472.6	5474.6
1059.19	1059.5	5.6	6.48	1.24	1.82	7.96	11.9	83.19	39.71	5474.6	5476.6
1059.5	1059.8	4.54	12.7	1	1.89	7.34	10.7	79.21	72.58	5476.6	5478.7
1059.8	1060.11	3.7	4.83	0.6	1.31	6.46	7.1	67.28	32.43	5478.7	5481.4
1060.11	1060.42	6.05	13.4	2.39	1.87	9.26	10.4	68.15	41.23	5481.4	5484.1
1060.42	1060.61	5.1	5.66	0.83	1.63	9.71	14.5	73.22	29.47	5484.1	5485.6
1060.79	1061	4.68	6.53	1.18	1.49	7.57	9.98	67.54	28.35	5486.8	5488.3
1061.02	1061.33	5.81	8.8	1.32	1.65	7.09	13.2	75.37	133.58	5488.5	5490.8
1061.33	1061.63	4.8	6.59	0.86	1.66	8.14	11	73.6	29.97	5490.8	5493.1
1061.63	1061.94	5.07	6.21	1.04	1.5	5.87	12.4	95.14	32.69	5493.1	5495.1
1061.94	1062.23	9.53	8.61	2.09	2.08	13.2	15.5	73.99	28.83	5495.1	5497.4
1062.24	1062.52	6.08	5.37	1.02	1.97	9.39	13.1	73.84	36.47	5497.5	5499.5
1062.6	1062.85	6.7	5.69	1.07	1.79	7.1	13.5	69.32	30.68	5500.2	5502.2
1062.85	1063.16	5.33	20.2	1.35	2.04	10.6	11.3	72.16	34.12	5502.2	5505.4
1063.16	1063.46	6.31	10	1.33	2.48	10.6	15.5	93.97	39.95	5505.4	5507.6
1063.46	1063.76	9.11	6.66	1.99	2.3	10.5	17	71.6	36.89	5507.6	5509.4
1063.76	1064.07	5.31	16.6	1.15	1.92	10.5	9.76	73	28.8	5509.4	5511.6
1064.07	1064.37	7.65	4.38	1.63	1.27	7.65	9.77	86.46	34.62	5511.6	5513.8
1064.44	1064.63	8.16	25.9	1.79	2	8.69	16.2	81.54	30.99	5514.3	5515.7
1064.67	1064.98	8.18	12.9	1.3	1.84	7.5	15.3	77.93	30.49	5516.0	5518.3
1064.98	1065.25	3.41	10.9	1.9	1.8	6.56	10	88.91	33.74	5518.3	5520.3
1065.28	1065.47	6.19	5.44	1.68	2.48	14.3	14.7	75.5	33.7	5520.5	5522.1
1065.61	1065.89	6.99	8.32	0.97	2.66	10.6	14.7	75.5	33.7	5523.1	5525.4
1065.89	1066.19	4.15	6.82	1.04	1.14	5.3	7.58	54.4	21.01	5525.4	5527.8
1066.19	1066.49	5.39	6.69	1.47	1.69	6.33	11.2	77.05	33.64	5527.8	5530.0
1066.49	1066.8	5.13	5.64	1.21	2.38	12.2	10.1	66.88	50.765	5530.0	5531.9
1066.8	1067.1	4.05	5.8	0.98	1.43	7.95	9.28	73.24	30.21	5531.9	5534.3
1067.1	1067.4	8.22	5.74	1.29	2.59	15.9	13.2	66.8	31.14	5534.3	5536.5
1067.4	1067.71	10.3	8.26	1.84	2.64	11	56.2	83.85	118.41	5536.5	5538.4
1067.71	1068.01	3.84	7.96	0.94	1.82	7.91	9.68	81.01	38.87	5538.4	5540.8
1068.01	1068.31	4.18	9.19	0.96	1.52	5.12	9.39	71.16	24.45	5540.8	5542.9
1068.31	1068.61	6.09	9.62	1.31	1.47	7.27	10.9	68.05	29.12	5542.9	5545.0
1068.61	1068.91	9.69	8.23	3.65	2.56	17	14.1	75.87	32.44	5545.0	5547.2
1069	1069.22	2.88	7.95	0.82	1.06	5.95	6.04	67.37	21.86	5547.8	5549.5
1069.24	1069.52	5.1	17.7	1.7	1.79	11.6	8.74	73.91	29.52	5549.7	5551.9
1069.52	1069.79	6.61	11.3	1.02	1.86	7.13	17	83.02	29.73	5551.9	5554.0
1069.82	1070.12	7.79	26.5	2.54	2.12	9.81	13.5	98.74	40.74	5554.2	5556.6
1070.12	1070.42	5.18	6.22	1.08	1.19	5.51	10.6	67.74	21.06	5556.6	5558.8
1070.46	1070.73	4.24	24.4	1.38	1.15	5.82	8.55	80.56	26.08	5559.1	5560.9
1070.73	1070.93	4.48	11.3	1.06	1.63	7.91	10.5	81.7	33.8	5560.9	5562.6
1071.09	1071.33	4.55	13.3	0.95	1.66	6.82	12.4	85.79	38.7	5563.8	5565.5
1071.33	1071.63	8.35	25.9	1.54	1.97	9.69	15	70	30.43	5565.5	5567.9
1071.63	1071.93	6.83	11.3	1.46	1.85	16.4	12.9	70.81	34.54	5567.9	5570.1
1071.97	1072.15	6.3	6.39	1.22	2.13	13.2	11.8	68.8	29.4	5570.4	5571.8
1072.23	1072.52	4.51	4.28	0.85	0.74	6.13	6.04	59.05	24.35	5572.5	5574.6
1072.53	1072.83	2.95	18.3	0.76	1.34	5.82	7.77	65.14	23.82	5574.6	5576.6
1072.83	1073.13	8.39	52.1	2.01	1.81	10	13.9	76.37	33.06	5576.6	5578.1
1073.13	1073.3	8.55	15.6	2.32	2.18	12.4	15.3	94.4	41.59	5578.1	5579.4
1073.45	1073.74	4.51	8.9	1.43	1.67	12.2	9.34	86.82	36.15	5580.6	5582.6
1073.74	1074.04	5.13	8.19	0.88	1.2	8.33	10.1	64.04	25.66	5582.6	5584.6
1074.04	1074.3	3.34	5.79	0.91	1.34	5.32	8.98	83.27	29.09	5584.6	5586.3
1074.34	1074.6	4.75	7.9	0.89	1.74	8.68	11.8	77.38	32.18	5586.6	5588.8
1074.66	1074.88	7.03	20.5	1.49	1.38	6.11	14.5	91.09	32.16	5589.3	5591.3
1075	1075.24	4.09	6.89	1.04	2.11	12.8	15.4	103.6	39.98	5592.3	5594.5
1075.28	1075.54	4.72	12.4	1.04	2.32	13.5	9.41	78.48	37.53	5594.8	5596.5
1075.54	1075.84	6.51	7.38	1.29	2.16	9.67	14.8	71.66	63.36	5596.5	5598.6
1075.84	1076.14	6.51	8.74	1.44	2.19	7.94	15.6	74.51	64.27	5598.6	5600.7
1076.14	1076.44	5.22	7.44	1.18	1.68	8.38	10.5	76.81	47.77	5600.7	5602.8
1076.44	1076.74	3.19	8.72	0.76	1.05	5.23	7.11	67.4	35.39	5602.8	5604.9
1076.74	1077.03	3.8	23.5	0.89	1.55	8.83	10.2	81.13	30.22	5604.9	5607.2
1077.03	1077.33	4.35	5.67	0.61	1.12	3.49	9.44	65.66	23.85	5607.2	5609.4
1077.33	1077.63	5.45	8.12	0.65	1.55	5.05	12	76.73	33.39	5609.4	5611.3
1077.63	1077.9	4.05	3.76	0.31	1.16	2.52	9.11	63.09	33.88	5611.3	5613.1
1077.98	1078.23	5.06	11.4	1.84	1.83	10.4	9.01	76.87	32.24	5613.7	5615.7
1078.23	1078.53	4.91	7.97	1.07	1.18	5.34	8.65	62.35	27.91	5615.7	5618.1
1078.53	1078.83	5.61	9.74	1.3	1.6	7.4	11.5	72.93	29.235	5618.1	5620.4
1078.83	1079.13	15.2	12.1	1.06	3.06	8.22	26.4	82.55	33.51	5620.4	5623.0
1079.13	1079.43	5.97	19.6	1.33	1.62	9.77	12.8	89.75	36.21	5623.0	5625.4
1079.43	1079.72	8.65	6.99	2.15	1.92	16.8	12.3	66.82	32.91	5625.4	5627.6
1079.72	1080.02	7.97	21.9	2.79	1.33	7.16	11.7	87.4	31.9	5627.6	5629.9
1080.02	1080.32	4.13	6.04	0.85	1.93	8.14	9.31	75.2	31.1	5629.9	5631.9
1080.32	1080.62	7.04	7.77	0.99	1.65	9.27	13.2	72.71	24.77	5631.9	5634.3
1080.76	1080.92	7.08	8.72	1.61	1.86	10.4	10.2	81.87	36.39	5635.4	5636.5
1080.92	1081.22	4.99	20.5	1.42	1.15	6.81	7.07	70.54	36.25	5636.5	5639.5
1081.22	1081.51	7.08	8.96	1.02	1.64	7.52	12.3	69.39	44.57	5639.5	5641.9
1081.51	1081.81	3.98	7.62	0.86	1.64	9.55	8.25	72.35	24.66	5641.9	5643.9
1081.81	1082.11	8.7	11	2.2	2.44	14.1	12.7	82.46	27.03	5643.9	5645.9
1082.11	1082.41	6.54	9.13	1.21	1.77	8.99	11.5	73.02	28.78	5645.9	5648.2
1082.41	1082.7	9.3	24.9	2.59	2.43	13.8	15.8	78.88	42.29	5648.2	5650.5
1082.7	1083	6.36	6.56	0.94	2.08	11.6	12.7	72.47	33.16	5650.5	5652.6
1083	1083.3	6.36	12.2	1.11	1.58	8.58	12.8	77.62	33.67	5652.6	5654.9
1083.3	1083.6	6.69	5.6	1.06	1.91	9.72	11.3	64.31	40.93	5654.9	5656.8
1083.6	1083.89	3.55	6.33	1.15	1.17	4.21	7.11	77.76	27.93	5656.8	5659.3
1083.89	1084.19	6.58	3.14	0.72	1.16	3.03	13.4	60.33	20.64	5659.3	5661.5
1084.19	1084.49	6.42	5.03	1.05	1.48	3.86	14.2	67.03	22.28	5661.5	5663.8
1084.49	1084.78	3.76	10.6	0.92	1.46	8.53	10.2	89.79	31.76	5663.8	5666.0
1084.78	1085.08	4.58	10.4	1.23	1.6	10.5	10.4	68.12	25.08	5666.0	5668.4
1085.08	1085.38	7.11	7.24	1.53	1.86	10.7	13.6	73.57	71.08	5668.4	5670.5
1085.38	1085.67	6.1	6.7	0.76	1.73	6.44	12.9	77.9	43.84	5670.5	5672.8
1085.67	1085.97	5.84	7.72	0.93	1.76	9.87	10.2	62.78	20.65	5672.8	5674.9
1085.97	1086.27	5.73	6.11	1	1.17	7.53	18.7	87.13	51.41	5674.9	5677.8
1086.27	1086.56	8.19	7.87	1.25	2.87	12.2	11.9	74.53	31.69	5677.8	5680.3
1086.56	1086.8	6.33	20.2	1.9	1.53	10.7	3.8	48.61	23.84	5680.3	5682.1
1086.86	1087	1.86	6.64	0.99	0.89	7.71	10.4	75.43	84.61	5682.6	5683.8
1087.15	1087.38	5.26	5.17	1.4	2.29	9.48	8.12	83.01	30.83	5685.3	5687.2
1087.45	1087.746	3.44	11	1.1	1.49	8.89	14	87.4	43.61	5687.7	5690.1
1087.746	1088.04	6.19	10.8	1.73	2.5	12.2	13.7	61.23	39.38	5690.1	5692.4
1088.04	1088.3	7.73	4.58	0.79	2.13	8.51	14.2	79.02	38.94	5692.4	5694.3
1088.33	1088.63	5.73	14.1	1.65	2.35	12.5	13	77.45	39.26	5694.5	5697.1
1088.63	1088.93	6.36	10.8	1.66	2.1	9.52	11.9	82.44	40.79	5697.1	5699.4
1088.93	1089.14	5.23	7.62	1.13	1.73	8.88	9.36	77.02	29.53	5699.4	5701.0
1089.22	1089.51	4.57	17.6	1.22	1.32	7.45	10.2	79.86	29.84	5701.8	5704.2
1089.56	1089.81	4.73	13.6	0.82	1.64	6.96	10.5	74.82	39.33	5704.6	5706.5
1089.85	1090.11	7.39	7.33	1.29	2.3	10.1	15.3	84.8	40.79	5706.8	5708.7
1090.11	1090.4	12.8	28.7	1.77	2.69	9.14	33.2	58.37	37.71	5708.7	5710.9
1090.4	1090.7	4.39	16.8	1.65	2.07	12.5	7.84	71.78	66.82	5710.9	5713.7
1090.7	1090.99	5.49	11.2	1.42	1.72	11.4	8.96	76.33	29.18	5713.7	5715.9
1090.99	1091.29	9.75	11.9	3.01	1.52	10.5	17.2	60.43	27.28	5715.9	5718.1
1091.29	1091.58	5.87	12.7	1.14	1.92	9.4	11.4	79.69	32.99	5718.1	5720.3
1091.58	1091.88	8.01	6.03	1.39	2.2	9.07	14.4	69.84	39.53	5720.3	5722.5
1091.88	1092.17	10.1	12.2	3.22	3.56	18.8	16.7	94.34	112.03	5722.5	5725.1
1092.25	1092.44	4.5	9.67	0.91	1.18	4.6	10.4	68.95	34.71	5725.7	5726.8
1092.57	1092.76	7.58	10.4	1.52	1.51	5.1	15.7	70.59	26.46	5727.9	5729.4
1092.76	1093.05	6.21	25.6	1.57	0.97	9.2	9.92	73.86	27.2	5729.4	5732.1
1093.05	1093.35	6.52	5.48	2.16	1.73	10.9	11.2	62.97	31.03	5732.1	5734.5
1093.42	1093.61	6.74	9.38	1.35	1.9	11.7	9.58	64.08	26.26	5735.2	5736.8
1093.78	1093.94	10.7	10.4	3.74	2.3	12	15.9	79.06	36.58	5737.8	5738.9
1094	1094.23	5.24	13.5	1.09	2.14	10.1	10.6	77.82	35.98	5739.3	5741.1
1094.23	1094.52	4.23	8.19	1.02	1.76	6.35	10.4	81.45	64.88	5741.1	5743.3
1094.52	1094.82	6.46	5.25	1.05	2.19	11.6	12.2	73.89	40.58	5743.3	5745.6
1094.82	1095.11	4.35	5.38	1.12	1.64	10.2	8.04	62.04	28.2	5745.6	5748.4
1095.11	1095.4	4.95	6.59	1.08	1.85	9.29	9.49	68.61	35.62	5748.4	5750.8
1095.4	1095.7	7.43	20.7	2.06	2.61	9.45	14.5	106.2	34.96	5750.8	5753.2
1096.28	1096.57	4.5	5.84	0.92	1.4	7.17	9.18	81.61	34.405	5757.9	5760.1
1096.57	1096.87	6.35	10.1	1.37	1.95	11.7	9.41	64.92	35.97	5760.1	5762.6
1096.87	1097.16	22.4	4.36	7.35	2.77	15.9	27.7	68.6	65.78	5762.6	5765.5
1097.16	1097.36	7.21	9.93	2.64	1.49	11.3	8.53	71.75	32.43	5765.5	5767.2
1097.5	1097.73	6.97	8.73	1.35	1.83	7.82	17.8	73.02	30.64	5768.3	5769.9
1097.76	1098.04	10.1	9.8	2.97	2.52	13.5	20.3	90.46	42.63	5770.1	5772.4
1098.04	1098.33	7.36	9.32	1.44	1.81	6.13	19.5	89.22	28.4	5772.4	5774.6
1098.33	1098.62	7.33	11.2	1.11	1.77	6.58	16.1	77.44	30.22	5774.6	5776.6
1098.62	1098.91	6.95	6.43	2.83	1.99	7.91	15.1	88.97	36.58	5776.6	5779.0
1099.51	1099.73	5.93	5.04	0.89	1.53	7.07	15.2	54.83	27.13	5783.5	5785.1
1099.79	1100.08	5.67	8.77	1.66	2.09	12	11.2	96.75	29.86	5785.5	5787.6
1100.2	1100.32	9.89	7.69	2.71	2.59	9.04	18.5	77.13	38.9	5788.5	5789.5
1100.43	1100.66	5.71	25.4	1.71	1.98	7.62	14.3	83.18	36.43	5790.3	5792.3
1100.66	1100.95	4.92	4.66	1.01	1.52	7.21	13.6	81.73	26.63	5792.3	5795.0
1100.95	1101.17	7.93	18.8	1.43	2.16	8.35	20.3	70.06	36.47	5795.0	5796.8
1101.25	1101.54	3.83	7.58	0.92	1.11	5.5	10.5	74.12	25.34	5797.4	5799.5
1101.54	1101.83	7.41	5.39	1.07	1.5	9	15.5	70.43	30.64	5799.5	5801.9
1101.83	1102.12	9.36	7.92	1.57	2.23	8.48	21.8	79.47	33.62	5801.9	5804.0
1102.16	1102.4	4.28	6.22	1.02	1.49	8.44	10.4	71.41	36.39	5804.3	5806.2
1102.41	1102.67	5.67	4.61	0.71	2.1	10.1	14.6	64.22	38.7	5806.3	5808.1
1102.75	1102.91	7.9	4.37	1.07	1.21	4.32	14.5	58.35	23.6	5808.7	5809.9
1102.99	1103.19	6.93	17	1.36	2.26	9.26	15.9	84.03	33.07	5810.6	5812.2
1103.31	1103.56	7.31	13.9	1.17	1.72	10.9	13.8	56.27	30.66	5813.1	5815.1
1103.66	1103.86	4.18	2.34	0.79	0.78	3.59	8.32	67.9	19.93	5816.1	5817.4
1103.86	1104.15	6.9	18.2	0.81	1.81	8.11	18.5	67.34	35.82	5817.4	5819.5
1104.15	1104.4	6.71	27.1	0.83	1.72	7.19	13.3	69.42	44.04	5819.5	5821.1
1104.52	1104.73	2.54	11.9	0.95	1.54	6.13	7.04	90.85	32.68	5821.9	5823.3
1104.78	1105	3.23	10	0.91	1.9	7.75	11	76.37	23.28	5823.7	5825.2
1105.1	1105.29	3.16	5.45	0.52	1.4	5.07	9.65	67.38	47.38	5826.1	5827.4
1105.37	1105.6	7.18	10.4	1.31	2.31	11.2	27	90.11	91.46	5827.9	5829.5
1105.6	1105.83	3.41	6.1	0.6	1.65	9.32	6.45	68.67	30.69	5829.5	5831.4
1106.02	1106.1	7.22	9.97	0.68	2.33	12.5	19.2	78.67	43.66	5833.1	5833.7
1106.18	1106.47	6.72	4.55	1.13	1.77	6.53	12.1	83.55	62.51	5834.3	5836.4
1106.47	1106.76	4.22	7.53	0.92	1.68	6.43	11.3	87.52	50.69	5836.4	5838.5
