GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

36.5	37.09	5.518	3.601	1.447	1.069	7.615	10.636	68.205	39.864	48.8	50.5
37.09	37.74	4.368	3.421	1.134	1.325	12.024	8.154	58.285	42.746	50.5	52.5
37.74	38.36	6.437	7.563	1.29	1.604	8.417	13.472	79.366	43.706	52.5	54.4
38.36	38.97	4.828	23.049	2.541	0.948	6.212	10.636	73.166	36.502	54.4	56.4
38.97	39.58	5.977	12.785	1.368	1.896	11.222	10.99	72.546	46.588	56.4	58.1
39.58	40.09	7.587	5.762	1.173	1.714	7.615	17.017	69.445	58.595	58.1	59.6
40.09	40.59	4.598	3.781	0.782	1.325	6.012	6.736	60.145	38.423	59.6	61.1
40.59	41.01	5.058	23.589	2.463	1.835	13.427	9.218	68.825	32.179	61.1	62.1
41.01	41.61	7.357	2.341	1.994	1.604	8.016	14.181	60.145	30.258	62.1	63.8
41.61	42.21	10.345	8.283	1.29	2.99	14.429	19.145	73.166	48.989	63.8	65.6
42.21	42.81	5.747	3.961	0.977	1.592	7.415	10.636	79.986	88.373	65.6	67.5
42.81	43.11	7.817	3.241	0.899	1.726	7.615	14.89	62.625	35.061	67.5	68.7
44.11	44.59	4.138	8.283	1.056	1.361	10.822	12.409	81.226	48.509	71.6	72.8
44.59	45.18	6.897	4.142	0.977	1.628	8.818	17.017	68.205	33.62	72.8	74.9
45.18	45.54	4.138	2.341	0.821	1.179	8.016	8.863	66.965	30.738	74.9	76.0
45.54	45.76	6.897	2.341	0.704	1.179	6.212	14.181	48.984	29.298	76.0	76.7
45.76	46.35	8.506	3.601	1.056	2.127	8.818	18.79	78.126	51.391	76.7	78.3
46.35	46.93	4.138	6.302	1.447	1.057	6.613	17.017	80.606	36.502	78.3	80.2
46.93	47.45	2.529	9.904	1.095	0.936	6.012	12.054	71.926	27.376	80.2	82.1
47.45	48.09	5.058	12.605	1.173	1.106	7.214	12.054	73.166	29.298	82.1	84.4
48.09	48.67	5.288	5.762	0.821	1.276	8.417	12.409	70.686	39.384	84.4	86.4
48.67	49.28	7.587	42.136	3.832	1.641	9.619	16.308	93.627	49.47	86.4	88.4
49.28	49.82	5.058	2.521	0.665	0.936	4.208	10.99	58.905	34.581	88.4	90.1
49.82	50.39	5.977	2.521	0.743	1.276	7.615	10.99	58.905	36.502	90.1	91.8
50.39	50.96	8.506	4.682	1.564	2.163	11.222	17.372	70.066	34.581	91.8	94.1
